,X,Y,labels,district
480,14.04626,37.043,0,1000030
481,-44.625484,-36.6106,0,1000030
482,14.04626,37.043,0,1000030
483,14.04626,37.043,0,1000030
484,14.04626,37.043,0,1000030
485,14.04626,37.043,0,1000030
486,9.926388,32.772453,0,1000030
487,14.11574,35.586964,0,1000030
488,14.04626,37.043,0,1000030
489,14.04626,37.043,0,1000030
490,54.406532,10.606415,1,1000031
491,54.406494,10.60647,1,1000031
492,54.406506,10.606452,1,1000031
493,54.387302,10.6340065,1,1000031
494,54.406532,10.606415,1,1000031
495,54.406506,10.606451,1,1000031
496,54.406506,10.606452,1,1000031
497,54.406483,10.606489,1,1000031
498,54.406506,10.606452,1,1000031
499,54.40652,10.606433,1,1000031
500,54.36789,10.660019,1,1000031
501,54.406532,10.606415,1,1000031
502,54.406494,10.606469,1,1000031
503,54.406483,10.606489,1,1000031
504,54.406532,10.606416,1,1000031
505,54.40651,10.606451,1,1000031
506,54.406532,10.606415,1,1000031
507,54.406532,10.606415,1,1000031
508,54.40652,10.606433,1,1000031
509,54.40637,10.60643,1,1000031
510,54.358307,10.67318,1,1000031
511,54.40648,10.606488,1,1000031
512,-47.079163,19.956959,0,1000032
513,-47.079163,19.956959,0,1000032
514,-47.079163,19.956959,0,1000032
515,-47.079163,19.956959,0,1000032
516,-47.079163,19.956959,0,1000032
517,-47.079163,19.956959,0,1000032
518,-47.079163,19.956959,0,1000032
519,-47.079163,19.956959,0,1000032
520,-47.079163,19.956959,0,1000032
521,-47.079163,19.956959,0,1000032
522,-47.079163,19.956959,0,1000032
523,-47.079163,19.956959,0,1000032
524,-47.079163,19.956959,0,1000032
525,-47.079163,19.956959,0,1000032
526,-47.079163,19.956959,0,1000032
527,-47.079163,19.956959,0,1000032
528,-47.079163,19.956959,0,1000032
529,-47.079163,19.956959,0,1000032
530,-47.079163,19.956959,0,1000032
531,-47.079163,19.956959,0,1000032
532,-47.079163,19.956959,0,1000032
533,-47.079163,19.956959,0,1000032
534,-47.079163,19.956959,0,1000032
535,-47.079163,19.956959,0,1000032
536,-47.079163,19.956959,0,1000032
537,-47.079163,19.956959,0,1000032
538,-47.079163,19.956959,0,1000032
539,-47.079163,19.956959,0,1000032
540,-47.079163,19.956959,0,1000032
541,-47.079163,19.956959,0,1000032
542,-47.079163,19.956959,0,1000032
543,-47.079163,19.956959,0,1000032
544,-38.500183,23.216288,0,1000033
545,-38.500187,23.216288,0,1000033
546,-38.500187,23.216288,0,1000033
547,-5.8552814,20.803917,0,1000033
548,-38.500187,23.216288,0,1000033
549,-38.500187,23.216288,0,1000033
550,-38.48109,23.228672,0,1000033
551,-38.500187,23.216288,0,1000033
552,-38.500187,23.216288,0,1000033
553,-38.500187,23.216288,0,1000033
554,-38.500187,23.216288,0,1000033
555,-38.500187,23.216288,0,1000033
